prompt,label
Can you help me understand this concept?,1
I'm having trouble with my assignment. Can you assist me?,1
Please explain how to solve this problem.,1
Could you provide some guidance on this topic?,1
What are the steps to follow for this task?,1
I'm lost. Can you point me in the right direction?,1
I'm stuck. Can you provide some advice?,1
I need assistance with my project.,1
How do I use this software?,1
Can you clarify this instruction for me?,1
I've done my research.I'm still unsure. Can you help me?,1
I need someone to review my work.,1
Please explain this equation to me.,1
Can you check if my solution is correct?,1
I'm struggling to understand this paragraph.,1
I need help brainstorming ideas for my essay.,1
What are the key points I should focus on?,1
Could you explain the main concepts in this chapter?,1
Can you recommend any resources for further study?,1
I need help organizing my thoughts.,1
How can I improve my writing skills?,1
I'm having writer's block. Can you help me overcome it?,1
Can you assist me in preparing for my exam?,1
I'm overwhelmed. Can you break this down for me?,1
Please provide feedback on my presentation.,1
I need help choosing a topic for my research paper.,1
Can you suggest a thesis statement for my essay?,1
I'm confused about the requirements for this assignment. Can you clarify?,1
I'm having trouble finding reliable sources. Can you help me?,1
How do I cite this source in APA format?,1
I'm not sure if my conclusion is strong enough. Can you advise?,1
I need help understanding the implications of this theory.,1
Could you explain the significance of this experiment?,1
I'm struggling to interpret the results. Can you assist me?,1
I need help creating an outline for my paper.,1
Can you suggest a methodology for my research project?,1
Please help me understand the context of this quote.,1
I need assistance with data analysis for my project.,1
What are the limitations of this study?,1
I'm unsure how to approach this problem. Can you provide some guidance?,1
I need help with statistical analysis.,1
I'm having trouble with the formatting of my document. Can you help me fix it?,1
Can you recommend a statistical test for my experiment?,1
I'm struggling to find relevant literature. Can you suggest some sources?,1
How do I interpret this graph?,1
I'm not sure if my hypothesis is valid. Can you help me evaluate it?,1
I need help understanding the ethical implications of this research.,1
Could you provide examples of similar studies for comparison?,1
I'm having trouble with the calculations. Can you check my math?,1
Please help me understand the methodology used in this study.,1
I need assistance with literature review.,1
Can you help me refine my research question?,1
I'm unsure how to analyze this data. Can you help me interpret it?,1
I need help with citations for my paper.,1
What are the different approaches to solving this problem?,1
I'm struggling to find relevant theories. Can you suggest some?,1
Could you explain this concept using a real-world example?,1
I need help with experimental design.,1
Can you suggest ways to improve my experiment?,1
I'm having trouble with the structure of my essay. Can you help me organize it?,1
Please help me understand the key terms in this field.,1
I'm not sure if my methodology is appropriate. Can you provide feedback?,1
I need help with hypothesis testing.,1
What are the strengths and weaknesses of this argument?,1
I'm struggling to understand the implications of this theory. Can you explain it further?,1
Could you recommend any peer-reviewed articles on this topic?,1
I need help analyzing qualitative data.,1
Can you help me understand the significance of this finding?,1
I'm unsure how to interpret this result. Can you provide some insight?,1
I need assistance with literature search.,1
What are the possible interpretations of this data?,1
I'm having trouble with the theoretical framework. Can you help me develop it?,1
Can you recommend a suitable research methodology for my study?,1
I'm struggling to find relevant data. Can you help me locate it?,1
Please help me understand the assumptions underlying this model.,1
I'm not sure if my conclusions are supported by the data. Can you help me verify?,1
I need help with statistical software. Can you provide guidance?,1
What are the potential biases in this study?,1
I'm unsure how to analyze this dataset. Can you provide assistance?,1
I need help with hypothesis formulation.,1
Can you suggest ways to improve the reliability of my findings?,1
I'm struggling to understand the statistical tests used in this study. Can you explain them?,1
Could you help me with data visualization?,1
I'm having trouble understanding this statistical concept. Can you provide clarification?,1
I need assistance with sample size determination.,1
What are the ethical considerations in this research study?,1
I'm unsure how to address potential confounding variables. Can you provide advice?,1
I need help with qualitative data analysis.,1
Can you assist me in writing a literature review?,1
I'm struggling to understand the relationship between variables. Can you help me analyze it?,1
Please help me understand the implications of this theory for my research.,1
I'm not sure if my research design is valid. Can you provide feedback?,1
I need help with data collection methods.,1
Can you suggest ways to improve the validity of my research?,1
I'm having trouble with data cleaning. Can you provide guidance?,1
Please help me understand the statistical assumptions underlying this test.,1
I'm unsure how to interpret this statistical model. Can you provide assistance?,1
I need help with research proposal writing.,1
Can you suggest ways to minimize sampling bias?,1
I'm struggling to understand the statistical concepts in this paper. Can you explain them?,1
Please help me understand the statistical significance of this result.,1
I'm not sure if my research question is clear. Can you help me refine it?,1
I need assistance with data preprocessing.,1
Can you recommend any statistical software for data analysis?,1
I'm having trouble with the interpretation of this statistical analysis. Can you provide guidance?,1
I need help with data visualization techniques.,1
Can you assist me in conducting a systematic literature review?,1
I'm struggling to understand the limitations of this study. Can you help me identify them?,1
Please help me understand the key assumptions of this statistical test.,1
I'm unsure how to conduct power analysis. Can you provide assistance?,1
I need help with coding for data analysis.,1
Can you suggest ways to improve the reliability of my measurements?,1
I'm having trouble with the statistical inference. Can you provide guidance?,1
Please help me understand the statistical distribution of this variable.,1
Write a 1000-word essay on the history of artificial intelligence.,0
Create a detailed business plan for a new startup in the healthcare industry.,0
Design a fully functional website for an e-commerce store selling fashion accessories.,0
Develop a mobile application that helps users track their daily water intake.,0
Produce a comprehensive market research report on the global renewable energy sector.,0
Draft a series of engaging social media posts for promoting a new fitness brand.,0
Generate a set of personalized workout routines tailored to different fitness levels.,0
Write a script for a promotional video highlighting the features of a new productivity app.,0
Design a logo and branding materials for a sustainable fashion company.,0
Develop a strategic marketing campaign to increase awareness of a local charity event.,0
Create a database schema and design for a customer relationship management (CRM) system.,0
Write a series of articles on effective time management techniques for busy professionals.,0
Design an infographic illustrating the benefits of adopting renewable energy solutions.,0
Develop a curriculum for an online course teaching beginner-level coding skills.,0
Produce a storyboard for an animated explainer video about climate change.,0
Write a detailed guide on setting up and optimizing Google Ads campaigns.,0
Design a prototype for a mobile app that helps users learn a new language.,0
Create a 3D model of a sustainable eco-friendly house using CAD software.,0
Develop a content calendar for a social media influencer focusing on wellness and mindfulness.,0
Write a comprehensive user manual for a home automation system.,0
Produce a series of recipe videos featuring healthy and nutritious meals.,0
Design an interactive quiz for educating people about environmental conservation.,0
Develop a budget proposal for a nonprofit organization seeking funding for a community project.,0
Write a persuasive speech advocating for stricter environmental protection laws.,0
Create a storyboard and script for an educational cartoon series targeting children.,0
Design packaging for a new line of eco-friendly household cleaning products.,0
Develop a comprehensive training program for customer service representatives.,0
Write a whitepaper on the future of remote work and its impact on business productivity.,0
Design an infographic showcasing the benefits of mindfulness and meditation.,0
